goos: linux
goarch: amd64
pkg: github.com/33TU/json-experiment
cpu: 13th Gen Intel(R) Core(TM) i9-13900H
BenchmarkMarshalFloat64/marshal_append-20        	16414680	        69.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat64/marshal_append-20        	15811066	        69.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkMarshalFloat64/marshal-20               	10631360	       124.7 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/marshal-20               	 7941866	       126.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/marshal-20               	10620980	       122.6 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/marshal-20               	 9309948	       123.5 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/marshal-20               	10880366	       118.1 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/encoding_json-20         	 8301308	       142.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/encoding_json-20         	 6928978	       148.4 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/encoding_json-20         	 8213199	       144.0 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/encoding_json-20         	 8401591	       151.1 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/encoding_json-20         	 6968463	       149.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkMarshalFloat64/sonic_json-20            	10244463	       116.9 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalFloat64/sonic_json-20            	 8749335	       125.4 ns/op	      42 B/op	       2 allocs/op
BenchmarkMarshalFloat64/sonic_json-20            	12174634	       128.7 ns/op	      41 B/op	       2 allocs/op
BenchmarkMarshalFloat64/sonic_json-20            	 7565368	       140.8 ns/op	      42 B/op	       2 allocs/op
BenchmarkMarshalFloat64/sonic_json-20            	 7157138	       144.2 ns/op	      42 B/op	       2 allocs/op
BenchmarkMarshalFloat64/sonic_encode_into-20     	13874362	        80.04 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat64/sonic_encode_into-20     	17770896	        80.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat64/sonic_encode_into-20     	17273388	        74.96 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat64/sonic_encode_into-20     	15451090	        77.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkMarshalFloat64/sonic_encode_into-20     	13834695	        76.65 ns/op	      16 B/op	       1 allocs/op
