goos: linux
goarch: amd64
pkg: github.com/33TU/json-experiment
cpu: 13th Gen Intel(R) Core(TM) i9-13900H
BenchmarkMarshalStruct/encoding_json-20          	 1000000	      1067 ns/op	     464 B/op	       7 allocs/op
BenchmarkMarshalStruct/encoding_json-20          	 1000000	      1022 ns/op	     464 B/op	       7 allocs/op
BenchmarkMarshalStruct/encoding_json-20          	 1000000	      1153 ns/op	     464 B/op	       7 allocs/op
BenchmarkMarshalStruct/encoding_json-20          	 1000000	      1212 ns/op	     464 B/op	       7 allocs/op
BenchmarkMarshalStruct/sonic_json-20             	 1613545	       733.6 ns/op	     447 B/op	       4 allocs/op
BenchmarkMarshalStruct/sonic_json-20             	 1488378	       804.2 ns/op	     447 B/op	       4 allocs/op
BenchmarkMarshalStruct/sonic_json-20             	 1774162	       702.2 ns/op	     446 B/op	       4 allocs/op
BenchmarkMarshalStruct/sonic_json-20             	 1787164	       705.8 ns/op	     448 B/op	       4 allocs/op
BenchmarkMarshalStruct/sonic_json-20             	 2168947	       626.7 ns/op	     449 B/op	       4 allocs/op
BenchmarkMarshalStruct/sonic_encode_into-20      	 1946709	       601.0 ns/op	     195 B/op	       3 allocs/op
BenchmarkMarshalStruct/sonic_encode_into-20      	 2388139	       507.4 ns/op	     196 B/op	       3 allocs/op
BenchmarkMarshalStruct/sonic_encode_into-20      	 2267756	       444.7 ns/op	     196 B/op	       3 allocs/op
BenchmarkMarshalStruct/sonic_encode_into-20      	 3152391	       439.1 ns/op	     196 B/op	       3 allocs/op
BenchmarkMarshalStruct/sonic_encode_into-20      	 2624419	       421.7 ns/op	     197 B/op	       3 allocs/op
PASS
ok  	github.com/33TU/json-experiment	210.257s
